iter	Passed	Remaining
912	1973106	8832513
913	1975454	8831190
914	1977746	8829611
915	1979719	8826610
916	1981192	8821383
917	1983242	8818730
918	1985488	8816951
919	1987826	8815578
920	1989789	8812540
921	1992142	8811231
922	1993999	8807731
923	1996249	8805965
924	1998304	8803343
925	2000553	8801569
926	2002956	8800477
927	2005222	8798779
928	2008018	8799400
929	2010404	8798220
930	2013095	8798372
931	2015547	8797473
932	2017939	8796311
933	2020340	8795186
934	2022308	8792174
935	2024082	8788325
936	2026569	8787569
937	2028964	8786411
938	2030927	8783382
939	2033207	8781725
940	2035704	8781003
941	2037735	8778271
942	2040071	8776848
943	2042301	8774974
944	2044521	8773054
945	2046220	8768896
946	2048508	8767271
947	2050592	8764767
948	2052806	8762824
949	2055083	8761145
950	2056789	8757035
951	2059658	8757877
952	2061824	8755720
953	2064202	8754470
954	2066371	8752328
955	2068560	8750272
956	2070909	8748890
957	2073053	8746641
958	2075399	8745245
959	2077642	8743413
960	2080341	8743493
961	2082688	8742095
962	2084706	8739314
963	2087028	8737806
964	2089231	8735801
965	2091600	8734490
966	2093578	8731544
967	2095621	8728867
968	2097636	8726081
969	2099601	8723088
970	2101390	8719365
971	2103523	8717072
972	2105484	8714063
973	2107781	8712450
974	2109937	8710254
975	2111721	8706525
976	2114032	8704967
977	2116330	8703354
978	2118366	8700667
979	2120521	8698467
980	2122520	8695626
981	2124426	8692407
982	2126409	8689506
983	2128816	8688339
984	2131158	8686906
985	2133468	8685335
986	2135662	8683294
987	2137737	8680773
988	2140111	8679460
989	2142338	8677554
990	2144731	8676315
991	2147132	8675106
992	2148651	8670340
993	2151090	8669285
994	2153610	8668551
995	2155612	8665736
996	2157808	8663698
997	2160113	8662099
998	2162777	8661933
999	2165058	8660233
1000	2167121	8657659
1001	2169268	8655424
1002	2171217	8652397
1003	2173495	8650686
1004	2175461	8647729
1005	2177657	8645688
1006	2179740	8643203
1007	2182047	8641598
1008	2184394	8640158
1009	2186682	8638477
1010	2189046	8637098
1011	2191402	8635685
1012	2193661	8633888
1013	2195725	8631323
1014	2197916	8629259
1015	2200170	8627440
1016	2202520	8625998
1017	2204621	8623577
1018	2206268	8619387
1019	2208508	8617512
1020	2210841	8616004
1021	2213252	8614793
1022	2214890	8610576
1023	2216859	8607649
1024	2218699	8604223
1025	2220934	8602331
1026	2222766	8598879
1027	2223983	8593056
1028	2226015	8590387
1029	2227772	8586655
1030	2229782	8583904
1031	2232586	8584206
1032	2234436	8580842
1033	2236630	8578796
1034	2238837	8576803
1035	2240447	8572521
1036	2242642	8570485
1037	2244363	8566634
1038	2246667	8565016
1039	2249078	8563798
1040	2251299	8561859
1041	2252624	8556513
1042	2254800	8554405
1043	2256828	8551737
1044	2259251	8550564
1045	2261051	8547034
1046	2263219	8544897
1047	2265412	8542851
1048	2267468	8540295
1049	2269519	8537715
1050	2271370	8534389
1051	2273424	8531824
1052	2275727	8530195
1053	2277510	8526617
1054	2279621	8524272
1055	2282104	8523314
1056	2284303	8521296
1057	2286829	8520491
1058	2289262	8519340
1059	2291627	8517936
1060	2293940	8516333
1061	2296139	8514311
1062	2298314	8512197
1063	2300271	8509273
1064	2302666	8507974
1065	2304564	8504839
1066	2306768	8502831
1067	2308995	8500909
1068	2311231	8499018
1069	2313741	8498135
1070	2315791	8495560
1071	2318049	8493748
1072	2320100	8491176
1073	2322310	8489191
1074	2324749	8488038
1075	2326994	8486177
1076	2328783	8482653
1077	2331033	8480810
1078	2333602	8480124
1079	2335896	8478438
1080	2337901	8475702
1081	2340155	8473873
1082	2342493	8472341
1083	2344731	8470450
1084	2346461	8466726
1085	2348215	8463089
1086	2350312	8460692
1087	2352770	8459595
1088	2354697	8456585
1089	2356843	8454364
1090	2358856	8451669
1091	2361045	8449603
1092	2363317	8447833
1093	2365224	8444760
1094	2367286	8442240
1095	2369269	8439441
1096	2371325	8436905
1097	2373602	8435152
1098	2375869	8433362
1099	2378126	8431538
1100	2380117	8428770
1101	2382357	8426887
1102	2384332	8424065
1103	2386305	8421237
1104	2388640	8419688
1105	2390977	8418144
1106	2392677	8414356
1107	2394673	8411613
1108	2396707	8409006
1109	2398692	8406227
1110	2400442	8402627
1111	2402596	8400444
1112	2404731	8398195
1113	2406991	8396381
1114	2408616	8392353
1115	2410793	8390253
1116	2412823	8387639
1117	2414849	8385015
1118	2416832	8382239
1119	2419288	8381104
1120	2421640	8379612
1121	2423789	8377412
1122	2425797	8374725
1123	2427722	8371755
1124	2429991	8369970
1125	2432605	8369373
1126	2434626	8366734
1127	2436325	8362990
1128	2438801	8361914
1129	2441141	8360369
1130	2443503	8358898
1131	2445907	8357569
1132	2447939	8354972
1133	2450242	8353296
1134	2452515	8351519
1135	2454889	8350081
1136	2457187	8348387
1137	2459524	8346822
1138	2461694	8344689
1139	2463541	8341465
1140	2465902	8339980
1141	2468047	8337765
1142	2470531	8336691
1143	2472966	8335452
1144	2475259	8333733
1145	2477066	8330377
1146	2478526	8325861
1147	2480213	8322109
1148	2482756	8321230
1149	2484724	8318426
1150	2487063	8316860
1151	2489305	8314972
1152	2490693	8310231
1153	2493019	8308625
1154	2495056	8306055
1155	2497332	8304279
1156	2499816	8303192
1157	2501794	8300428
1158	2503823	8297831
1159	2506008	8295752
1160	2508447	8294513
1161	2510652	8292498
1162	2512673	8289878
1163	2514890	8287903
1164	2516877	8285172
1165	2519174	8283460
1166	2521639	8282299
1167	2523636	8279603
1168	2525457	8276327
1169	2527672	8274347
1170	2529733	8271862
1171	2531997	8270039
1172	2534303	8268354
1173	2535783	8263977
1174	2538187	8262609
1175	2540500	8260945
1176	2542851	8259405
1177	2544820	8256624
1178	2546500	8252907
1179	2548715	8250927
1180	2551014	8249215
1181	2553221	8247207
1182	2555502	8245438
1183	2557736	8243516
1184	2559778	8240975
1185	2562132	8239438
1186	2563838	8235817
1187	2566138	8234106
1188	2568119	8231373
1189	2570502	8229927
1190	2572698	8227883
1191	2575016	8226225
1192	2577135	8223936
1193	2579753	8223234
1194	2581947	8221178
1195	2584130	8219090
1196	2586682	8218172
1197	2588909	8216223
1198	2591164	8214357
1199	2593354	8212288
1200	2595447	8209914
1201	2598244	8209759
1202	2600701	8208531
1203	2603084	8207066
1204	2605212	8204798
1205	2607444	8202856
1206	2610245	8202702
1207	2612947	8202231
1208	2615431	8201076
1209	2618079	8200430
1210	2620414	8198802
1211	2622646	8196853
1212	2625083	8195541
1213	2627212	8193267
1214	2629454	8191346
1215	2631203	8187889
1216	2633654	8186618
1217	2635863	8184594
1218	2638161	8182844
1219	2640381	8180854
1220	2642102	8177316
1221	2644639	8176307
1222	2646395	8172883
1223	2648583	8170793
1224	2650448	8167707
1225	2652875	8166355
1226	2655206	8164706
1227	2657514	8162983
1228	2659374	8159887
1229	2661463	8157494
1230	2663457	8154811
1231	2665665	8152780
1232	2667656	8150089
1233	2670228	8149172
1234	2671988	8145777
1235	2674237	8143876
1236	2676536	8142123
1237	2678507	8139374
1238	2681144	8138647
1239	2683570	8137279
1240	2685944	8135750
1241	2688320	8134225
1242	2690632	8132508
1243	2692738	8130165
1244	2694507	8126806
1245	2696829	8125119
1246	2699155	8123440
1247	2701135	8120721
1248	2703194	8118240
1249	2705845	8117535
1250	2708148	8115787
1251	2710411	8113914
1252	2712628	8111906
1253	2714685	8109419
1254	2716903	8107412
1255	2719582	8106780
1256	2721945	8105203
1257	2724006	8102729
1258	2726202	8100653
1259	2728384	8098539
1260	2730613	8096560
1261	2732896	8094743
1262	2734845	8091938
1263	2736866	8089345
1264	2739078	8087318
1265	2741363	8085505
1266	2743119	8082134
1267	2745328	8080099
1268	2747307	8077387
1269	2750052	8076924
1270	2752273	8074924
1271	2754114	8071807
1272	2756214	8069452
1273	2758153	8066623
1274	2760282	8064354
1275	2762485	8062299
1276	2764695	8060266
1277	2767154	8058958
1278	2769246	8056579
1279	2771133	8053605
1280	2773362	8051627
1281	2775456	8049255
1282	2777847	8047745
1283	2779817	8045017
1284	2782506	8044365
1285	2784722	8042348
1286	2787047	8040643
1287	2789190	8038413
1288	2791579	8036890
1289	2793763	8034776
1290	2795752	8032102
1291	2797515	8028781
1292	2799755	8026831
1293	2801476	8023393
1294	2803824	8021751
1295	2806123	8019971
